date,id,home_team,away_team,home_score,away_score,tournament,city,country,neutral,goals,victory,defeat,egality
1939-05-14,,Belgium,Switzerland,1,2,Friendly,Liège,Belgium,FALSE,660,0,0,0
1939-06-04,,Poland,Switzerland,1,1,Friendly,Warsaw,Poland,FALSE,662,0,0,0
1939-11-12,,Switzerland,Italy,3,1,Friendly,Zürich,Switzerland,FALSE,666,0,0,0
1940-03-03,,Italy,Switzerland,1,1,Friendly,Turin,Italy,FALSE,668,0,0,0
1940-03-31,,Hungary,Switzerland,3,0,Friendly,Budapest,Hungary,FALSE,671,0,0,0
1940-04-02,,Croatia,Switzerland,4,0,Friendly,Zagreb,Croatia,FALSE,675,0,0,0
1940-04-21,,Switzerland,Croatia,0,1,Friendly,Berne,Switzerland,FALSE,676,0,0,0
1941-03-09,,Germany,Switzerland,4,2,Friendly,Stuttgart,Germany,FALSE,682,0,0,0
1941-04-20,,Switzerland,Germany,2,1,Friendly,Berne,Switzerland,FALSE,685,0,0,0
1941-11-16,,Switzerland,Hungary,1,2,Friendly,Zürich,Switzerland,FALSE,688,0,0,0
1941-12-28,,Spain,Switzerland,3,2,Friendly,Valencia,Spain,FALSE,693,0,0,0
1942-01-01,,Portugal,Switzerland,3,0,Friendly,Lisbon,Portugal,FALSE,696,0,0,0
1942-02-01,,Germany,Switzerland,1,2,Friendly,Vienna,Germany,FALSE,699,0,0,0
1942-03-08,,France,Switzerland,0,2,Friendly,Marseille,France,FALSE,701,0,0,0
1942-10-18,,Switzerland,Germany,3,5,Friendly,Berne,Switzerland,FALSE,709,0,0,0
1942-11-01,,Hungary,Switzerland,3,0,Friendly,Budapest,Hungary,FALSE,712,0,0,0
1942-11-15,,Switzerland,Sweden,3,1,Friendly,Zürich,Switzerland,FALSE,716,0,0,0
1943-04-04,,Switzerland,Croatia,1,0,Friendly,Zürich,Switzerland,FALSE,717,0,0,0
1943-05-16,,Switzerland,Hungary,1,3,Friendly,Geneva,Switzerland,FALSE,721,0,0,0
1943-06-14,,Sweden,Switzerland,1,0,Friendly,Solna,Sweden,FALSE,722,0,0,0
1945-04-08,,Switzerland,France,1,0,Friendly,Lausanne,Switzerland,FALSE,723,0,0,0
1945-05-21,,Switzerland,Portugal,1,0,Friendly,Basel,Switzerland,FALSE,724,0,0,0
1945-07-21,,Switzerland,England,3,1,Friendly,Berne,Switzerland,FALSE,728,0,0,0
1945-11-11,,Switzerland,Italy,4,4,Friendly,Zürich,Switzerland,FALSE,736,0,0,0
1945-11-25,,Switzerland,Sweden,3,0,Friendly,Geneva,Switzerland,FALSE,739,0,0,0
1946-05-11,,England,Switzerland,4,1,Friendly,London,England,FALSE,744,0,0,0
1946-05-15,,Scotland,Switzerland,3,1,Friendly,Glasgow,Scotland,FALSE,748,0,0,0
1946-07-07,,Sweden,Switzerland,7,2,Friendly,Solna,Sweden,FALSE,757,0,0,0
1946-09-14,,Czechoslovakia,Switzerland,3,2,Friendly,Prague,Czechoslovakia,FALSE,762,0,0,0
1946-11-10,,Switzerland,Austria,1,0,Friendly,Berne,Switzerland,FALSE,763,0,0,0
1947-01-05,,Portugal,Switzerland,2,2,Friendly,Lisbon,Portugal,FALSE,767,0,0,0
1947-04-27,,Italy,Switzerland,5,2,Friendly,Florence,Italy,FALSE,774,0,0,0
1947-05-18,,Switzerland,England,1,0,Friendly,Zürich,Switzerland,FALSE,775,0,0,0
1947-06-08,,Switzerland,France,1,2,Friendly,Lausanne,Switzerland,FALSE,778,0,0,0
1947-09-21,,Netherlands,Switzerland,6,2,Friendly,Amsterdam,Netherlands,FALSE,786,0,0,0
1947-11-02,,Switzerland,Belgium,4,0,Friendly,Geneva,Switzerland,FALSE,790,0,0,0
1948-04-18,,Austria,Switzerland,3,1,Friendly,Vienna,Austria,FALSE,794,0,0,0
1948-04-21,,Hungary,Switzerland,7,4,International Cup,Budapest,Hungary,FALSE,805,0,0,0
1948-05-17,,Switzerland,Scotland,2,1,Friendly,Berne,Switzerland,FALSE,808,0,0,0
1948-06-20,,Switzerland,Spain,3,3,Friendly,Zürich,Switzerland,FALSE,814,0,0,0
1948-10-10,,Switzerland,Czechoslovakia,1,1,International Cup,Basel,Switzerland,FALSE,816,0,0,0
